kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
柔	['ジュウ', 'ニュウ']	['やわ', 'やわ.ら', 'やわ.らか', 'やわ.らかい']	9	['gentleness', 'softness', 'tender', 'weakness']	['とお']	tender	2	8	[]	67D4
殿	['テン', 'デン']	['-どの', 'との']	13	['Mr.', 'hall', 'lord', 'mansion', 'palace', 'temple']	['て', 'どん']	Mr.	2	8	[]	6BBF
濃	['ノウ']	['こ.い']	16	['concentrated', 'dark', 'thick', 'undiluted']	['の']	concentrated	2	8	[]	6FC3
液	['エキ']	[]	11	['fluid', 'juice', 'liquid', 'sap', 'secretion']	[]	fluid	2	5	[]	6DB2
衣	['イ', 'エ']	['-ぎ', 'きぬ', 'ころも']	6	['clothes', 'dressing', 'garment']	[]	garment	2	4	[]	8863
肩	['ケン']	['かた']	8	['shoulder']	[]	shoulder	2	8	[]	80A9
零	['レイ']	['こぼ.す', 'こぼ.れる', 'ぜろ']	13	['cipher', 'nothing', 'overflow', 'spill', 'zero']	[]	zero	2	8	[]	96F6
幼	['ヨウ']	['おさな.い']	5	['childhood', 'infancy']	['うぶ', 'わか']	infancy	2	6	[]	5E7C
荷	['カ']	['に']	10	['baggage', 'bear (a burden)', 'cargo', 'freight', 'load', 'shoulder (a gun)', 'shoulder-pole load']	['はす', 'り']	baggage	2	3	[]	8377
泊	['ハク']	['と.まる', 'と.める']	8	['overnight stay', 'put up at', 'ride at anchor']	['とまり', 'はつ']	overnight	2	8	[]	6CCA
黄	['オウ', 'コウ']	['き', 'こ-']	11	['yellow']	['うい', 'れい']	yellow	2	2	[]	9EC4
甘	['カン']	['あま.い', 'あま.える', 'あま.やかす', 'うま.い']	5	['be content', 'coax', 'pamper', 'sugary', 'sweet']	['かも']	sweet	2	8	[]	7518
臣	['シン', 'ジン']	[]	7	['retainer', 'subject']	['おみ', 'たか', 'と', 'とみ', 'み']	retainer	2	4	[]	81E3
浅	['セン']	['あさ.い']	9	['frivolous', 'shallow', 'shameful', 'superficial', 'wretched']	['あざ', 'さ']	shallow	2	4	[]	6D45
掃	['シュ', 'ソウ']	['は.く']	11	['brush', 'sweep']	['か']	sweep	2	8	[]	6383
雲	['ウン']	['-ぐも', 'くも']	12	['cloud']	['き', 'ずも', 'のめ']	cloud	2	2	[]	96F2
掘	['クツ']	['ほ.る']	11	['delve', 'dig', 'excavate']	['ぼり']	dig	2	8	[]	6398
捨	['シャ']	['す.てる']	11	['abandon', 'discard', 'reject', 'resign', 'sacrifice', 'throw away']	[]	discard	2	6	[]	6368
軟	['ナン']	['やわ.らか', 'やわ.らかい']	11	['soft']	[]	soft	2	8	[]	8EDF
沈	['ジン', 'チン']	['しず.む', 'しず.める']	7	['aloes', 'be depressed', 'be submerged', 'sink', 'subside']	['しん']	sink	2	8	[]	6C88
凍	['トウ']	['い.てる', 'こお.る', 'こご.える', 'こご.る', 'し.みる']	10	['congeal', 'frozen', 'refrigerate']	['こおり']	frozen	2	8	[]	51CD
